"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.944,"2.055","2.165"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","26.01.",2.034,"2.144","2.183"
"5","Neste Oil, K-Supermarket Ahteentie 1","26.01.",2.029,"2.139","2.179"
"6","ABC, Sale Monnankatu 4","26.01.",2.053,"2.163","-"
"7","Teboil Express, Papinhaka Papinhaankatu 7","25.01.",1.879,"1.979","-"
"8","Shell Express,  Karjalankatu (*Vpower)","23.01.",1.887,"-","-"
"9","ABC, Kortela Unajantie 2, 8-tie","23.01.",1.907,"2.017","2.153"
"10","St1, Kortela Vanha Turuntie, 8-tie","23.01.",1.883,"1.993","2.129"
"11","ABC, Prisma Porintie 4 (E85 1.671)","23.01.",1.911,"2.041","2.166"
"12","ABC, Talliketo Tallikedonkatu 12","23.01.",1.909,"2.009","2.165"
"13","Neste, Syvärauma Syväraumankatu 24","23.01.",1.999,"2.069","2.179"
"14","St1,  Nortamonkatu 19","22.01.",1.889,"1.999","-"
