"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.005,"2.106","1.869"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","04.06.",1.947,"2.047","1.838"
"5","Teboil Express, Papinhaka Papinhaankatu 7","04.06.",1.947,"2.047","1.943"
"6","ABC, Kortela Unajantie 2, 8-tie","02.06.",2.018,"2.117","1.869"
"7","ABC, Talliketo Tallikedonkatu 12","02.06.",2.018,"2.118","1.869"
"8","St1, Kortela Vanha Turuntie, 8-tie","02.06.",1.998,"2.097","1.848"
"9","ABC, Prisma Porintie 4 (E85 1.671)","02.06.",2.018,"2.123","1.869"
"10","Shell Express,  Karjalankatu (*Vpower)","02.06.",1.998,"*2.108","1.849"
"11","ABC, Sale Monnankatu 4","01.06.",2.06,"2.160","-"
"12","Neste Oil, K-Supermarket Ahteentie 1","01.06.",2.04,"2.140","-"
