"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.08,"2.181","2.174"
"3","","",NA,"",""
"4","St1,  Nortamonkatu 19","06.10.",2.089,"2.189","2.166"
"5","Shell Express,  Karjalankatu (*Vpower)","06.10.",2.084,"*2.194","2.157"
"6","ABC, Talliketo Tallikedonkatu 12","06.10.",2.11,"2.210","2.183"
"7","ABC, Prisma Porintie 4 (E85 1.671)","06.10.",2.112,"2.222","2.185"
"8","Neste,  Karjalankatu 7","05.10.",2.099,"2.199","2.179"
"9","Teboil Express, Papinhaka Papinhaankatu 7","05.10.",1.992,"2.092","-"
"10","ABC, Sale Monnankatu 4","03.10.",2.071,"2.171","2.171"
