"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.141,"2.243","2.084"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","23.08.",2.129,"2.229","2.069"
"5","ABC, Sale Monnankatu 4","23.08.",2.161,"2.261","2.097"
"6","ABC, Talliketo Tallikedonkatu 12","23.08.",2.149,"2.249","2.091"
"7","ABC, Prisma Porintie 4 (E85 1.671)","23.08.",2.151,"2.261","2.091"
"8","Shell Express,  Karjalankatu (*Vpower)","23.08.",2.123,"*2.233","2.063"
"9","Teboil Express, Papinhaka Papinhaankatu 7","23.08.",2.123,"2.213","-"
"10","ABC, Kortela Unajantie 2, 8-tie","23.08.",2.141,"2.261","2.096"
"11","ABC, S-Market Äyhönjärventie 1","23.08.",2.156,"2.261","2.094"
"12","Teboil (A), Sampaanala Nortamonkatu 35","23.08.",2.149,"2.239","2.084"
"13","St1, Kortela Vanha Turuntie, 8-tie","23.08.",2.119,"2.234","2.069"
"14","St1,  Nortamonkatu 19","23.08.",2.131,"2.239","2.079"
"15","Neste Oil, K-Supermarket Ahteentie 1","23.08.",2.134,"2.234","2.070"
"16","Neste, Syvärauma Syväraumankatu 24","22.08.",2.169,"2.229","2.099"
