"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,NA,""
"2","Keskihinnat:","",2.031,2.127,"2.024"
"3","","",NA,NA,""
"4","Teboil (A), Sampaanala Nortamonkatu 35","02.04.",2.008,2.108,"-"
"5","ABC, Talliketo Tallikedonkatu 12","02.04.",2.014,2.114,"-"
"6","St1,  Nortamonkatu 19","02.04.",2.004,2.104,"-"
"7","Neste,  Karjalankatu 7","02.04.",1.989,2.089,"1.989"
"8","Teboil Express, Papinhaka Papinhaankatu 7","01.04.",2.004,2.104,"2.004"
"9","Neste, Syvärauma Syväraumankatu 24","29.03.",2.009,2.069,"2.079"
"10","ABC, Kortela Unajantie 2, 8-tie","29.03.",2.089,2.189,"-"
"11","St1, Kortela Vanha Turuntie, 8-tie","29.03.",2.069,2.169,"-"
"12","ABC, Prisma Porintie 4 (E85 1.671)","29.03.",2.089,2.199,"-"
