"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.031,"2.137","2.035"
"3","","",NA,"",""
"4","ABC, Prisma Porintie 4 (E85 1.671)","19.03.",1.989,"-","-"
"5","Neste,  Karjalankatu 7","18.03.",2.005,"2.105","2.054"
"6","ABC, Talliketo Tallikedonkatu 12","16.03.",2.055,"2.155","-"
"7","ABC, Kortela Unajantie 2, 8-tie","16.03.",2.069,"2.169","-"
"8","ABC, S-Market Äyhönjärventie 1","16.03.",2.069,"2.169","-"
"9","Teboil (A), Sampaanala Nortamonkatu 35","16.03.",2.063,"2.163","-"
"10","St1,  Nortamonkatu 19","16.03.",2.045,"2.145","-"
"11","Teboil Express, Papinhaka Papinhaankatu 7","15.03.",1.956,"2.056","2.016"
