"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.903,"2.011","2.153"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","25.01.",1.879,"1.979","-"
"5","Neste,  Karjalankatu 7","24.01.",1.867,"1.977","2.125"
"6","Shell Express,  Karjalankatu (*Vpower)","23.01.",1.887,"-","-"
"7","ABC, Kortela Unajantie 2, 8-tie","23.01.",1.907,"2.017","2.153"
"8","St1, Kortela Vanha Turuntie, 8-tie","23.01.",1.883,"1.993","2.129"
"9","ABC, Prisma Porintie 4 (E85 1.671)","23.01.",1.911,"2.041","2.166"
"10","ABC, Talliketo Tallikedonkatu 12","23.01.",1.909,"2.009","2.165"
"11","Neste, Syvärauma Syväraumankatu 24","23.01.",1.999,"2.069","2.179"
"12","St1,  Nortamonkatu 19","22.01.",1.889,"1.999","-"
