"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.178,"2.277","2.247"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","31.08.",2.175,"2.275","2.245"
"5","Neste Oil, K-Supermarket Ahteentie 1","31.08.",2.168,"2.268","-"
"6","ABC, Kortela Unajantie 2, 8-tie","31.08.",2.171,"2.261","2.171"
"7","St1, Kortela Vanha Turuntie, 8-tie","31.08.",2.149,"2.239","2.149"
"8","ABC, S-Market Äyhönjärventie 1","30.08.",2.206,"2.311","2.296"
"9","Shell Express,  Karjalankatu (*Vpower)","30.08.",2.179,"*2.289","2.269"
"10","ABC, Sale Monnankatu 4","30.08.",2.206,"2.306","2.296"
"11","Teboil (A),  Hankkarintie 2","30.08.",2.206,"2.311","2.296"
"12","ABC, Talliketo Tallikedonkatu 12","30.08.",2.205,"2.305","2.295"
"13","ABC, Prisma Porintie 4 (E85 1.671)","30.08.",2.207,"2.317","2.297"
"14","Teboil (A), Sampaanala Nortamonkatu 35","30.08.",2.115,"2.205","2.119"
"15","St1,  Nortamonkatu 19","30.08.",2.199,"2.299","2.289"
"16","Teboil Express, Papinhaka Papinhaankatu 7","29.08.",2.131,"2.221","-"
