"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.917,"2.025","1.909"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","18.04.",1.878,"1.978","1.863"
"5","Neste,  Karjalankatu 7","18.04.",1.878,"1.978","1.864"
"6","ABC, Prisma Porintie 4 (E85 1.671)","18.04.",1.903,"-","-"
"7","Shell Express,  Karjalankatu (*Vpower)","18.04.",1.883,"*1.993","1.873"
"8","ABC, Sale Monnankatu 4","16.04.",1.948,"2.048","1.938"
"9","ABC, Talliketo Tallikedonkatu 12","16.04.",1.948,"2.048","1.939"
"10","Neste Oil, K-Supermarket Ahteentie 1","16.04.",1.928,"2.028","1.918"
"11","St1,  Nortamonkatu 19","14.04.",1.968,"2.068","1.969"
