"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.923,"2.033","2.152"
"3","","",NA,"",""
"4","Shell Express,  Karjalankatu (*Vpower)","23.01.",1.887,"-","-"
"5","ABC, Kortela Unajantie 2, 8-tie","23.01.",1.907,"2.017","2.153"
"6","St1, Kortela Vanha Turuntie, 8-tie","23.01.",1.883,"1.993","2.129"
"7","ABC, Prisma Porintie 4 (E85 1.671)","23.01.",1.911,"2.041","2.166"
"8","ABC, Talliketo Tallikedonkatu 12","23.01.",1.909,"2.009","2.165"
"9","Neste, Syvärauma Syväraumankatu 24","23.01.",1.999,"2.069","2.179"
"10","Neste,  Karjalankatu 7","22.01.",1.969,"2.079","2.149"
"11","St1,  Nortamonkatu 19","22.01.",1.889,"1.999","-"
"12","ABC, S-Market Äyhönjärventie 1","19.01.",2.023,"2.143","2.206"
"13","Teboil Express, Papinhaka Papinhaankatu 7","19.01.",1.849,"1.949","2.069"
