"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.957,"2.052","2.061"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","02.01.",1.879,"1.979","1.979"
"5","ABC, Prisma Porintie 4 (E85 1.671)","02.01.",2.017,"-","-"
"6","Neste,  Karjalankatu 7","31.12.",1.919,"2.019","2.025"
"7","St1, Kortela Vanha Turuntie, 8-tie","29.12.",1.954,"2.064","2.074"
"8","ABC, S-Market Äyhönjärventie 1","29.12.",1.977,"2.087","2.097"
"9","ABC, Talliketo Tallikedonkatu 12","29.12.",1.974,"2.074","2.094"
"10","ABC, Kortela Unajantie 2, 8-tie","29.12.",1.976,"2.086","2.098"
