"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.096,"2.195","2.285"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","11.11.",2.074,"2.174","2.234"
"5","ABC, Kortela Unajantie 2, 8-tie","11.11.",2.141,"2.241","2.346"
"6","ABC, Sale Monnankatu 4","11.11.",2.084,"2.184","-"
"7","St1, Kortela Vanha Turuntie, 8-tie","09.11.",2.119,"2.219","2.329"
"8","ABC, Prisma Porintie 4 (E85 1.671)","09.11.",2.147,"2.257","2.367"
"9","Neste Oil, K-Supermarket Ahteentie 1","09.11.",2.119,"2.219","2.329"
"10","Shell Express,  Karjalankatu (*Vpower)","09.11.",2.119,"*2.229","-"
"11","St1,  Nortamonkatu 19","07.11.",2.034,"2.134","2.179"
"12","Teboil (A), Sampaanala Nortamonkatu 35","07.11.",2.031,"2.131","2.211"
