"","Jakeluasema","PVM","95E10","98E","Di"
"1","","","",NA,""
"2","Keskihinnat:","","2.035",2.165,"2.212"
"3","","","",NA,""
"4","Neste Oil, K-Supermarket Ahteentie 1","02.02.","2.044",2.154,"-"
"5","ABC, Kortela Unajantie 2, 8-tie","02.02.","2.073",2.183,"-"
"6","ABC, Sale Monnankatu 4","02.02.","2.068",2.178,"-"
"7","St1,  Nortamonkatu 19","02.02.","2.059",2.169,"-"
"8","Teboil (A), Sampaanala Nortamonkatu 35","02.02.","2.062",2.162,"-"
"9","Neste,  Karjalankatu 7","01.02.","1.959",2.169,"2.212"
"10","ABC, Prisma Porintie 4 (E85 1.671)","01.02.","-",2.223,"-"
"11","Teboil Express, Papinhaka Papinhaankatu 7","31.01.","1.978",2.078,"-"
