"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.907,"2.028","2.126"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","13.01.",1.929,"2.029","2.129"
"5","Teboil Express, Papinhaka Papinhaankatu 7","13.01.",1.909,"2.009","2.109"
"6","Neste,  Karjalankatu 7","13.01.",1.899,"2.009","2.109"
"7","ABC, Kortela Unajantie 2, 8-tie","12.01.",1.943,"2.053","2.153"
"8","St1, Kortela Vanha Turuntie, 8-tie","12.01.",1.919,"2.029","2.129"
"9","St1,  Nortamonkatu 19","11.01.",1.939,"2.039","2.129"
"10","ABC, Talliketo Tallikedonkatu 12","09.01.",1.882,"-","-"
"11","ABC, Prisma Porintie 4 (E85 1.671)","09.01.",1.883,"-","-"
"12","Shell Express,  Karjalankatu (*Vpower)","09.01.",1.859,"*1.969","-"
