"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.174,"2.274","2.246"
"3","","",NA,"",""
"4","St1,  Nortamonkatu 19","03.09.",2.158,"2.258","-"
"5","Neste Oil, K-Supermarket Ahteentie 1","03.09.",2.138,"2.238","-"
"6","ABC, Kortela Unajantie 2, 8-tie","02.09.",2.195,"2.286","2.228"
"7","ABC, Sale Monnankatu 4","02.09.",2.195,"2.295","2.267"
"8","Teboil Express, Papinhaka Papinhaankatu 7","02.09.",2.157,"2.247","2.277"
"9","ABC, S-Market Äyhönjärventie 1","02.09.",2.19,"2.295","2.261"
"10","Teboil (A), Sampaanala Nortamonkatu 35","02.09.",2.168,"2.258","2.201"
"11","ABC, Talliketo Tallikedonkatu 12","02.09.",2.184,"2.284","2.254"
"12","St1, Kortela Vanha Turuntie, 8-tie","02.09.",2.168,"2.258","2.201"
"13","ABC, Prisma Porintie 4 (E85 1.671)","02.09.",2.186,"2.296","2.256"
"14","Neste,  Karjalankatu 7","02.09.",2.163,"2.263","2.233"
"15","Shell Express,  Karjalankatu (*Vpower)","02.09.",2.158,"*2.268","2.228"
"16","Teboil (A),  Hankkarintie 2","30.08.",2.206,"2.311","2.296"
