"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.937,"2.044","1.937"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","17.04.",1.908,"-","-"
"5","ABC, Sale Monnankatu 4","16.04.",1.948,"2.048","1.938"
"6","ABC, Talliketo Tallikedonkatu 12","16.04.",1.948,"2.048","1.939"
"7","Neste,  Karjalankatu 7","16.04.",1.928,"2.028","1.919"
"8","Shell Express,  Karjalankatu (*Vpower)","16.04.",1.928,"*2.038","-"
"9","Neste Oil, K-Supermarket Ahteentie 1","16.04.",1.928,"2.028","1.918"
"10","St1,  Nortamonkatu 19","14.04.",1.968,"2.068","1.969"
