"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.131,"2.233","2.095"
"3","","",NA,"",""
"4","Neste,  Karjalankatu 7","16.08.",2.113,"2.213","2.073"
"5","ABC, Kortela Unajantie 2, 8-tie","16.08.",2.142,"2.242","2.102"
"6","St1, Kortela Vanha Turuntie, 8-tie","16.08.",2.117,"2.217","2.077"
"7","Teboil Express, Papinhaka Papinhaankatu 7","16.08.",2.098,"2.198","-"
"8","ABC, Talliketo Tallikedonkatu 12","15.08.",2.152,"2.252","2.114"
"9","ABC, Prisma Porintie 4 (E85 1.304)","15.08.",2.154,"2.264","2.111"
"10","St1,  Nortamonkatu 19","15.08.",2.142,"2.242","2.104"
"11","Shell Express,  Karjalankatu (*Vpower)","15.08.",2.127,"*2.237","2.084"
"12","Neste Oil, K-Supermarket Ahteentie 1","14.08.",2.132,"2.232","-"
