"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",1.992,"2.129","1.896"
"3","","",NA,"",""
"4","Teboil Express, Papinhaka Papinhaankatu 7","22.04.",1.987,"2.087","-"
"5","Neste,  Karjalankatu 7","21.04.",2.007,"2.107","1.919"
"6","ABC, Sale Monnankatu 4","21.04.",2.042,"-","-"
"7","Neste Oil, K-Supermarket Ahteentie 1","21.04.",2.022,"2.122","-"
"8","ABC, Kortela Unajantie 2, 8-tie","19.04.",2.101,"2.200","-"
"9","ABC, Prisma Porintie 4 (E85 1.671)","18.04.",1.903,"-","-"
"10","Shell Express,  Karjalankatu (*Vpower)","18.04.",1.883,"*1.993","1.873"
