"","Jakeluasema","PVM","95E10","98E","Di"
"1","","",NA,"",""
"2","Keskihinnat:","",2.095,"2.191","2.226"
"3","","",NA,"",""
"4","Teboil (A), Sampaanala Nortamonkatu 35","26.10.",2.129,"2.229","2.279"
"5","ABC, Talliketo Tallikedonkatu 12","26.10.",2.155,"2.255","2.305"
"6","Shell Express,  Karjalankatu (*Vpower)","26.10.",2.129,"*2.239","2.279"
"7","Teboil Express, Papinhaka Papinhaankatu 7","26.10.",2.063,"2.163","-"
"8","Neste,  Karjalankatu 7","25.10.",2.069,"2.169","2.174"
"9","ABC, Kortela Unajantie 2, 8-tie","25.10.",2.09,"2.190","2.209"
"10","St1, Kortela Vanha Turuntie, 8-tie","25.10.",2.063,"2.163","2.182"
"11","ABC, Sale Monnankatu 4","25.10.",2.09,"2.190","2.209"
"12","Neste Oil, K-Supermarket Ahteentie 1","25.10.",2.063,"2.163","2.182"
"13","St1,  Nortamonkatu 19","24.10.",2.098,"2.198","2.218"
